review,guest_satisfaction_overall,accuracy_rating,cleanliness_rating,location_rating,value_rating,new_price,log_price
29,93,9,9,9,9,100.16666412353516,-0.15472105145454407
31,93,9,9,9,9,99,-0.17276093363761902
31,93,9,9,9,9,97.83333587646484,-0.19101521372795105
34,94,9,9,9,9,107.16666412353516,-0.0507051907479763
37,94,9,9,9,10,109.33333587646484,-0.01988342031836509
39,95,9,9,9,10,92.33333587646484,-0.28011029958724976
44,95,9,9,9,10,92.16666412353516,-0.2828924059867859
46,96,9,9,9,10,95.66666412353516,-0.2255009114742279
51,95,9,9,9,10,94.5,-0.24439473450183868
2,97,9,10,10,9,138,0.3386725187301636
2,97,9,10,10,9,140.3333282470703,0.3644903600215912
3,90,9,9,9,8,169.5,0.6552629470825195
4,90,9,9,10,9,167.1666717529297,0.6339181661605835
5,88,9,9,9,9,208.1666717529297,0.971678614616394
6,90,9,9,9,9,133.6666717529297,0.28954434394836426
8,90,9,9,9,9,143.1666717529297,0.39527028799057007
8,90,9,9,9,9,159,0.556792140007019
8,90,9,9,9,9,161.1666717529297,0.5776332020759583
8,90,9,9,9,9,156.6666717529297,0.5340273380279541
8,90,9,9,9,9,153.5,0.5025836825370789
8,90,9,9,9,9,152.3333282470703,0.49083560705184937
8,90,9,9,9,9,142.3333282470703,0.3862815499305725
8,90,9,9,9,9,144.6666717529297,0.4113203287124634
8,90,9,9,9,9,143.5,0.3988512456417084
8,90,9,9,9,9,143.5,0.3988512456417084
8,90,9,9,9,9,197.8333282470703,0.8932793736457825
8,90,9,9,9,9,195.5,0.8750096559524536
8,90,9,9,9,9,195.5,0.8750096559524536
14,89,9,10,10,9,188.1666717529297,0.816137969493866
6,93,10,10,9,10,105,-0.0821562185883522
7,94,9,9,9,9,115,0.05792618915438652
8,95,9,9,9,9,123,0.16148386895656586
8,95,9,9,9,9,123,0.16148386895656586
8,95,9,9,9,9,127,0.21076332032680511
10,96,10,9,9,9,125,0.1863207370042801
